SongTitle,Lyrics,hasVideo,Annotations,ReleaseDate,Album,lang,WordLength
XL Show Freestyle,hand eighth beam land space mma sit top world spit brandy e ill scarier white person trap room lauryn hill human horror film lot funnier plot people feel mma still madd rapper whether money long pill plenty pot canoe paddlin makin fun yacht would like award best rapper get mic source wardrobe afford otherwise might end back strike ford wonder hell need vicodin everybody pissin even limit tank look like middle finger sideways flippin wonder great danger health else would kill jump grave bury afraid blade make razor aid blood drip rip stomach waist talk lotta junk never ill though strong enough beat death feather pillow tipped cow joke laugh jumped choked giraffe snap neck broke half wag war go stage sprayed cage agent orange wipe page source demon steam year rip mystikal voice box scream ear gimmick trick image live give damn know damn give man think guy well high hell beat live cat swing tail friggin friggin lay nut dresser bang stuff spike bat cut neck glue head right back leave like trigger prick mixed liquor itch leave disfigure stiffer chris stiff er reef teethe strep throat mother breastfeeding give flesh eat disease iller takin hammer beating knee walk south central l bleeding jean flash back shot repeat scene smoke live scar tell like biggie pac joke man planet drive grand canyon hop grand land hand stand man planning battle get snatch outta clothes fast look like invisible man stand head hell rather dead jail bill clinton hit well inhale mc chooses go get take advantage like monica lewinsky come home frenzy push ten speed scream aunt peg three spoke stick outta pant leg forget headache give migraine dammit like pain anywhere mic rap know wack act throw flight step throw back like track f rap struck em harder get hit mack truck back half assed know rapper trespass well ready second celebrity deathmatch tell medic bring medication quickly sicker pac dedication biggie free fall foot first damn tree stampede chest til breathe last breath mma climb empire state building get last step still half left,False,4,1998-01-01,,en,2037
8 Mile: Cheddar Bob Freestyle,cheddar rip shred cheddar cheese well mc b rabbit sting like bee float like butterfly cut guy stutter guy leave punch drunk lunch truck shelter never felt wrath felt skelter melt ya belt welterweight champ fake stamp garbage bag full clothes still pullin hoe rip head toe leg bullet hole next gun pull slow aim free world fore go instead shot head yes big head call cheddar wallet drunk outdrink alcoholic make em damn cheddar man need surgically remove hand,False,5,2002-09-08,"8 Mile (Battles, Cyphers & Freestyles)",en,458
Fubba U Cubba Cubba,shady record nobody well u shady record cheddar u shady record nobody well u shady record figure rap map strategically timing everything seem key success merked repeatedly evil genius beat mc timing everything seem key em dis first respond immediately order master art war start war scar em victim sick fixin pick start picture rip throw dart target irv jeff beat em death benzino debt seem left bully bush think name bush pu bushy go get bore lately think get go hate tell truth like well could spit well bout kick sick look game change dre quit jay quit wankstas fake ancient make bore mma make new language fubba u cubba kubba yubba obubba ubba ba subbabick dadibbadick tuba summa dumma lamma human suicidal supersonic suicidal unabomber think new osama press think new madonna jeffrey dahmer left legacy carry lot talk rumor u hottest honest hip hop since pac move cuba u shaddy record well u shaddy record make cheddar u shaddy record well u shaddy record muthafuckas cheddar u,False,4,2005-12-26,Anger Management 3,en,982
Shade 45 Freestyle,comin live shade invasion radio station play rotation shady slash aftermath little jay comin live shade invasion radio station play rotation shady slash aftermath little jay occasion maybe may hear jada mixed plate block splash pac cater gon na play outta whatever want shady gon na pump pump obie twizzy stat quo quit keep sayin even till fcc sayin shut dude duck tape mouth somethin quick fucka poppa pop skippy dippy pop asshole son chinga tu madre start drama day hemm delala comin across scanner brand new station shade slim shady green lantern shady place see take rock mic right freestyle suck like,False,10,,,en,605
My Salsa,salsa salsa salsa salsa salsa salsa salsa salsa salsa salsa salsa salsa salsa salsa salsa salsa salsa salsa salsa salsa lead singer band get girl take underpants lead singer band salsa make pretty girl want dance salsa look next single call salsa salsa salsa salsa salsa salsa make pretty girl want dance take underpants salsa make pretty girl want dance take underpants salsa salsa lead singer band get girl take underpants lead singer band salsa make pretty girl want dance salsa look next single call salsa salsa salsa salsa salsa salsa make pretty girl want dance take underpants salsa make pretty girl want dance take underpants salsa lead singer band get girl take underpants lead singer band salsa make pretty girl want dance salsa look next single call salsa salsa salsa salsa salsa salsa make pretty girl want dance take underpants salsa make pretty girl want dance take underpants salsa lead singer band get girl take underpants lead singer band salsa make pretty girl want dance salsa look next single call salsa salsa salsa salsa salsa salsa make pretty girl want dance take underpants salsa make pretty girl want dance take underpants salsa salsa everybody go,False,6,2004-03-14,,en,1172
Pooh Butt Day,get morning feel sleepy hell go use bathroom tripped fell way downstairs onto couch pant way south go back upstairs change underwear take get em unstuck pubic hair finally unzipped go put em street threw em garbage pew hopped shower put shampoo hair go rinse water damn toilet must go foul another bath wipe stuff towel go get clothes wear wash sat played mario nintendo gon na see girl forget stuff man today feel like pooh butt sometimes thing never go way know feel like pooh butt today sometimes thing never go way know feel like pooh butt today every single day make habit get today feel like pooh butt ill stay bed dont know whats wrong take everything nonchalantly feel like move muscle girlfriend call tell get ta hustle plane leaf roll quarter look like gon na late aw forget make know disappointed gon na take sick bed make hung phone told could put come next day call doin nothing wish nothing luck feel like pooh sometimes thing never go way know feel like pooh butt today yo ever poohie stinky ridiculous rotten day man check woke morning yawn get ta get record studio get ta get take put rhyme together make get outta bed fall head slip rug thought dead cussin think head bust really nothing concussion shake get ground look around find rhyme sheet put em last night chair look everywhere find em anywhere go basement might misplace em get ta find em hurry vision still blurry goin stair could happen next early skip step fallin head first fall curse thing lookin bad mma get bad ache shake hurt stand slowly wipe dirt memory lapse remember nothing think collapse forget whole thing pause second look rhyme sheet might floor chair wait minute basement damn time fly think second recall memory rhyme sheet would remember put em closet next jacket would never lose em already hour eat breakfast get dress plus take shower undressed zest rack turn water almost heart attack cold hell start yell jumped shower smell grabbed towel rack dry dress still eat hair mess rush grabbed brush ran door floor land always fate know curse think might help open door first try turn handle sprain wrist happens day like sometimes thing never go way know feel like pooh butt today wow sound pretty poohie gon na break peoplewho know pooh butt day pooh butt day something everybody particular depression neither mad sad see butt butt feel like pooh butt feel like come certain time season time feel like particular reason get careless attitude yucky sensation people accept love pooh situation sittin toilet hour mark butt seat bowl grab toilet paper seat wipe realize may sat seat tight shrug shake stuck position remove impossible mission scream get take mother arrive knock upon door pull pull remove seat sit whole damn week never get caught rut stay fresh instead feel like pooh sometimes thing never go way know feel like pooh butt today sometimes thing never go way know feel like pooh butt today well next day felt pooh butt sick defeat survive go downstairs manage fall since feel well manage car well ey wzup whut get ta go feel pretty good come practice get ta nope go wan na know reason money something uhh could smell way seeying pew thought second get manic hole sweater feel like doin nothing comin feelin feel like pooh pooh pooh pooh pooh pooh pooh pooh pooh sometimes thing never go way know feel like pooh butt today sometimes thing never go way know feel like pooh butt today sometimes thing never go way know feel like pooh butt today sometimes thing never go way know feel like pooh butt today sometimes thing never go way feel like pooh butt today sometimes thing never go way know feel like pooh butt today pooh butt feel like pooh butt sometimes feel like pooh butt get feel like want stay bed day example pooh day ooooooh pooh butt example pooh butt day foot fall asleep whole day track run clock know get part except james get lag throat know else whatever particular moment usually gon na end song uh pooh buuutt,False,1,1988-01-01,,en,3934
Freestyle (The Watcher),thing psycho gun rifle sharp knife like might end tonight show right dose might wipe light pole strangest thing happen jabbin pregnant woman abdomen child get slap drastic kick gay bashin tire iron ratchet see em come watch em go versace whoa hey liberace ho might bash somebody probably know buncha faggot clique screamin drag em closet across floor go paid em visit hospital stab em tonsil popsicle stick sit back watch em choke every chair throw people sue dough press charge till fight anymore every girl choke lawyer know judge know suggest stay home ha ha son slim shady album may rd dr dre damn take ecstasy extraterrestrial lesbian ha ha cut outta peace,False,12,,The Marshall Mathers LP (Snippet Tape) ,en,661
8 Mile: B-Rabbit vs Supa Emcee,hey yo trailer trash yo future get whitey battle savior like darth vader battling obey taylor mess around horror grab mic ima murder die tomorrow kick lyric spit blow head leave die blood still trick hoe ima roll mama prostitute bro think white light ima murder gang blast de night im still ill still real ken loraine gun boy ima blow brain run bunch whack faggot ima eat meat like body maggot yo matter fact gettin played nothing white boy die aid,False,1,,"8 Mile (Battles, Cyphers & Freestyles)",en,448
Tim Westwood Freestyle,freestyle jay z ghetto get distort aborted late uh yo turn beat little bit care mic distort get ta hit pa blast tab acid flabbergast hopped cab blast cab driver haha hold minute give infinite beat kick minute understand way mic hand kill mc stand sits walk handicapped matter mr handicap hand haha clap hand rap fan jump wheelchair give em lap dance illest mc kill die hard like thank much cliche rock microphone care eminem slim slim le bian korean haha ayo try something uh uh uh uh uh uh free check rap rap within soul clap expose wack rapper smack em bozack flatten em like inner tube punch fist torso thinner dude mood make serious winner lose get high gin booze hahahaha inner tube nude centerfold winter cold ayo give though give envelope get open tim westwood show cypher sound strike like way sound wack style packed pack mc tell right sound wack call u make noise see shell shall prevail faker lee nail tell know flow flow rock radio feel right c mon shady flow yo yo yo yo turn beat little bit know like beat like mad low hello hello hello check check check hello check check check beat switch cool j ill bomb awwww yo turn little bit turn c mon tim turn turn tim distort yo yo yo trap cinema material world criminal cop scour rural area thorough kiss girl married girl carry girl cemetery bury girl desperate mess always get arrest something domestic kill way met never catch cop sketch upset matter bad mad get problem tec speak go sweet hard beat odds hoe show quit pizza job fool rob geek rob steal car visa card slim shady,False,3,2000-01-01,,en,1538
8 Mile: Maurice Grant vs B-Rabbit,shelter get like smashin red beam johny blastin evil rhyme assassin get guy runnin like haulin bury pink rabbit askin close caption word flame get burnin burnin leavin ground tore pressure wan na frown want know pullin trigger hoist fool neck back break yo check look look yo get ta flow mo detroit hoe talkin seven mile change style read bio really ohio vile guy fat even see eye smile yo listen rhyme yo chicken matter fact another beer right back dawg set mic right,False,0,2002-11-08,"8 Mile (Battles, Cyphers & Freestyles)",en,468
Baruch College Session,bust final problem solve throwin sulfuric gas back see spinal column dissolve droppin body like domino season phenomenal legion shoot abdominal region slim shady responsible permanent stillness escape hospital terminal illness itchin rip frame cuz nothing lose like movie come callin name first last middle initial mom dad pregnant widow miss anybody else poppin go witchu cuz tryna hear like political issue leave enough fund mma shove gun mouth love drown em face bath tub run rap sheet longer tubby sub bun mma kill think come top force rock unorthodox style top dome popular poem forget damn team stop alone rapper think put record sell al wan na kick kick fluid rapper wan na get knew fed want headhunt ted bundy dead flee country bluntly cannibal animal fed monthly eat bread crunchy cement bed comfy head lumpy funky like dead skunk med flunkie jump cliff thread bungee wear red undees black cape rollin hood crack bumpin whack tape come dumpin change rap name richard jewell blowing nothing show puffin throw drinkin kill brain cell till slow think grow stinkin born bad odor gim hennessey please add soda doper beat sober rocker like grandma tip slim shady son son yo detroit city uh huh bout little something like little something like ok drop bust bust yo hang bunch hippy wacky tobacco planter swallow lit roach light like jack lantern outsidaz suin court dope get two source yo never shoulda boot outta reform school deform fool take warm pool till threw ramada inn twin start mother take bike away murder guinea pig stuck microwave straight forty ouncers slappin teacher jackin front counselor class clown freshman dress like le nessman forget next lesson pa test guessin kid eminem thizz head never last class ever pa phys ed maybe true til told girl gym class fat swim lap need slim fast girl big step walk vic tanny step jenny craig picked snap like skinny twig put headlock thought guinea pig felt evilness start transformin begin stormin heard bunch cheerin fan swarmin picked hair drug across ground threw high dive board toss sorry coach late tell stop drop girl face watch belly flop like come start wildin bust lyric rapper believe freestyling well go kick lyrical flow head toe every rapper place know come freestyle come top dome knock mouth ya copying stop soft stand top loft kill slowly like roberta flack never heard wack mc try step break verta back vertebra increase murder rate state yo check bout pa mic next mc wan na step flex tech make sure fresh come wreck wan na next go like broke rubber bust nut mother feel another little brother nasty talk trash like trucker snatch track smack always talk high smoking chocolate thai die walk give awkward eye lose motherfucking marble smell like brewery droolin way jewelery sparkle head full charcoal smoke brain particle burning hole clothes article retard fool since start school burn weed learn read disregard rule skip class blaze blunt ash kiss front dash smash car like stunt crash hall pas restroom chew mushroom rush fume lunch room look nervous liquor thermos hung hermit carry gun without permit star firm tit jacking aim straight lip sperm spit set rapper get behead soft yo get wire cross rapper try step ill fire bos freestyle kill fill adrenaline rapper feel like braille touch anywhere want feel rapper wan na kill thrill check bout wreck make record skinny like anorexic girl head exit run butt naked away date rap rapper twist em great shape throw em great lake michigan state fisherman sake throw em toss em rapper try step holocaust never win forever bent forever demented rapper try step sweet scent demented meant killin mc infinite come way spittin lyrical infinite ammunition put clip lyrical track rippin crush kill take best line hush take flush toilet take big plot foil rapper uncoil take aluminum foil throw microwave watch burn mma blow rapper make em ill enough throw show come battle speed little bit alright cool alright bust bust bust bust bust quest people strange tell change still lame asshole different name come late last show different dame brain ate last sniffed caine know space like george lucas puke turn yellowish orange mucus grab pencil squeeze finger rapper demon speaks english freak genius extreme weak squeamish burn alive till scream extinguish drop science tell stop violence start fire block hydrant mean person never see bad slim get bursting get spun backwards like every word obscene curse b side first single clean version stop short life still teen virgin unless get kidney specialist spleen surgeon best hospital possible emergency surgery try stop blood rupture sternum internally take back knew name run hospital snatch mother frame take back back lover lane night thought block father game plead fifth like jaw muzzle suck take crossword puzzle ten second left whole bout mma head butt hard knock u doubt,False,6,1997-01-01,,en,4844
Infinite (F.B.T. Remix),ah eminem back motherfucking time mind represent know yo know ayo pen paper chain reaction get brain relaxin zany actin maniac action brainiac fact son mainly lack attraction look insanely wack fraction track run rhymin skill climbin hill travel mind chill spine like siren drill slimin grill roach spray disinfects twistin neck rapper til spinal column disconnect put deck check monologue turn system twist em indulge marijuana smog season noise pollution contamination examination car tune animation lamination narration hit snare bass track duck rapper interrogation declare invasion time starin gazin turn stage barren wasteland infinite heard hell well sent go serve sentence murder instrument try repent hear beat tempt make another attempt infinite bust beat commence beat sense elite defense meat mince crew stomp two foot rinse greet gent lady spoil loyal fan foil plan leave fluid leak like oil pan coil hand around microphone lethal thought cerebral deeper jeep full people mc feeble come pandemonium battle band phony mc stand lonely imitator intimidator stimulator simulator data eliminator never great since burial jesus around catch venereal disease thesis smash stereo piece cappella release classic masterpiece telekinesis ea mentally gently sentimentally instrumentally entity dementedly meant infinite infinite heard hell well sent go serve sentence murder instrument try repent hear beat tempt make another attempt infinite man evidence never dense clever ever since residence hesitant represent mo assume responsibility monster always want kill mc mic nestler slammin like wrestler make mess lyric smuggle embezzler specialer skill intergalactical get cynical act fool send crew back school never packed tool act cool practical rather tactical tactful track tickle fancy fact see imagine man lover beat fan scratchin family kid cameo last jam plus man never plan b make instant hit tense bit tempt see sin friend commit infinite heard hell well sent go serve sentence murder instrument try repent hear beat tempt make another attempt infinite,False,7,2016-11-17,,en,2063
Zucker im Kaffee (Sugar in the coffee),go lyrical idea doin spiritual microphone tear stereo like grand wizard yes imperial clue doin freifick muschi whole life ruin try step life jeopardy seek wit part zucker im kaffee und zitrone oder sahne den tee und dazu den ganzen tag lang nur amor da ist wunderbar se part part part yes go break crown bout take yo man guitar come lyric go far like car drivin survivin vivarin alive like eye tiger kick hard freifick muschi dis regard come part go zucker im kaffee und zitrone oder sahne den tee und dazu den ganzen tag lang nur amor da ist wunderbar se nochmal zucker zucker zucker zucker zucker im kaffee und zitrone oder sahne den tee aha und dazu den ganzen tag lang nur amor da ist wunderbar se give noise make noise,False,7,2015-03-25,,en,723
Freestyle (Light Speed),stay high racial tension facial expression tense like suffer case nasal congestion eye hazel complexion beige age still question critic hate tape kid wait next long reject tape never ejects deck level respect cd get ya graspin straw like snort crush aspirin gasp air collapse mall realistic impression artistic expression whose tape deck kid shot delicatessen launch verse full controverse haunt bad e join church sorry kid dismiss class go back broom closet sniff gas um mr mathers miss bathroom pant world still kiss last album last valium pick pa bathroom ya like hearing blow til lipstick smear see disappear may rd mean take year heard yo may rd,False,1,,The Marshall Mathers LP (Snippet Tape) ,en,650
Shady Narcotics,god damn feel like long time miss u miss ha shady narcotic back cent obie trice stat quo al al al al alchemist would also like introduce two new member family go name bobby creek go name ca orange county think time cut bullshit go,False,1,2006-12-04,Eminem Presents: The Re-Up,en,230
Tylenol Island,slim shady ight missy elliott timbo c mon yo homicidal suicidal friend hold gun handle barrel end sprayin tec see leg bullet hole exit wound layin next mad dog foamin mouth mouth whole house foamin couch jumped ninety third floor buildin shot every window way ground woke hospital staff laugh chopped em half suffocate oxygen mask get high get east west beefin fly back detroit stand crossfire hotel room ready time get work shall time come home ight yo yo yo time yo smilin violent plane wylin told pilot fly tylenol island stewardess like restless nah restful hold jet still eat pretzel forget school kid disrespectful hold play connect dot freckle take tryin gain weight eat steak swallow whole plate weigh naked put album teach kid family value every mom dad allow pop valium never hit someone unless reason reason make start swingin,False,8,,Unreleased Songs,en,837
Syllables (Remix),lyric anymore hot beat catchy hook get ta dumb style abc nowadays kid jeez give bout lyric wan na hear beat thats long go club get blitz pick chick get digit dj play hit jam dont know word verse know chorus chorus repeat four word u song ginormous whole formula switch know anymore hit beat rap finger snap clap adapt get trl vote year old control remote ashley brand new nose get ta put new em phasis syllable emphasis compact disc beat gon feature em get rich dre mix drive range rove everywhere go love bling bling flow bang bang look way chain glow ring fing cost ya man lot dough bust brain way game go take two tango call lame flow bought guess blame found angle reality flow tryna time album drop reality show mac front hot call publicist tell press heaven give except kid internet want chat room house malibu em emphasis wrong syllable new funny must mean new interest ever since sense extension veteran rapper well half come right trash torch gon na burn get pas jay last em detox drop whole camp run around scramble gamble everytime put record look hook shorty love love meant shorty love love promise true go shorty birthday make time hear wordplay kid flip flow use flip run g day use see get hoe international get lick round globe sick right show rid lolo puff coco manolo dodo sling dumb hoe play time joke joke around could get smoke look game b play beep behind player anyway hear fin nini na fee fi dididee yay give check way sunny bunny money funny even listen take money top hit list trl rick dees pick straight grl ski mix call strasburg pitch leave rapper tongue tie local gr worldwide sound like cabbage ya wilt outside spit tomato straight vine leave artist lookin sundried bunch little stain tide keep stain stick subaru ride glass black see u ignite paint white like write mount baker bout get boost style parking lot help smile please cover eye child gunz come know bumpin subie shes cover bitties snowpants blue like sign thrifty baggy size burrito leg call big shitty,False,12,2009-01-01,,en,1995
Everybody’s Looking at Me,light action camera flash manager sponsor concert monster mash flash type might throw underwear trash like marilyn manson update axle rise white version shaft pimp slappin hoe pull like mac jet black limo strecth far back see back window step pink hat fur mink chick arm think right arm go kid n sync chick left arm little pink chick dre vma pissin lesbian gay show clip harder virgin inside strip club yo bust thug beatin u like inch dove glove buzz happen take satisfaction funk flex back spittin actin like harder life peace obie trice rock mic right obie trice around globe twice feel shine show peace mark labelle flex paul rosenburg yo em diddy save ayo think dad go crazy,False,3,,,en,678
My Name Is (Radio Edit),hi name name name chka chka slim shady hi name huh name name chka chka slim shady hi name name name chka chka slim shady hi name huh name name chka chka slim shady excuse attention class second hi kid like primus wan na see stick inch nail eyelid wan na copy exactly like try get mess bad life brain dead weight try get head straight figure spice girl want impregnate dr dre slim shady head uh uh face red man waste well since age twelve felt like cage elf stayed space chase tail ticked ripped pamela lee lip kiss em know silicone suppose soft pa crash fall grass faster fat man sat fast come lady shady wait minute girl dog give damn dre sent tick world hi name name name chka chka slim shady hi name huh name name chka chka slim shady hi name name name chka chka slim shady hi name huh name name chka chka slim shady english teacher want flunk junior high thanks lot next semester smack face eraser chase stapler told change grade paper walk strip club jacket zipped serve bartender walk tip cup extraterrestrial run pedestrian spaceship scream friend ninety nine percent life lie found mom told grow famous rapper make record name know blew woman rush stand try touch hand like scream usher fan guy white castle ask autograph sign dear dave thanks support asshole hi name name name chka chka slim shady hi name name name chka chka slim shady hi name huh name name chka chka slim shady hi name name name chka chka slim shady stop tape kid need lock away dr dre stand operate ready leave scary die carry inside cemetery bury alive come go barely decide drank fifth kool aid dare drive life deprive woman year palm hairy hide clothes ripped like incredible hulk spit talk anything walk little use get hungry would throw fit gon na breastfeed mom lay awake strap bed put bulletproof vest tap head steam mad way see dad ask bought porno mag see ad hi name name name chka chka slim shady hi name huh name name chka chka slim shady hi name name huh name chka chka slim shady hi name huh name name chka chka slim shady,False,2,2003-12-23,The Singles,en,2014
12 Days of Diss-Mas,hit em pac dis fe liar yz real muthaphuckkin g eazy e yoo common compton tim dog wit dre day dr dre vaseline ice cube tha police n w jack ripper cool j dis mc lyte roxanne revenge roxanne shant bridge boogie honorable mention wack c del funky homosapien bonus track life line cent,False,4,2018-12-25,,en,280
Crackers And Cheese,man stand slap wind begin know many reply grin yes tire obtrude seclude brand new horn toot sum nutshell eminem kick find certain obligatory place dwell fell wonderful production make lose time brings obstruction finally loose unload stockpile mental projectile aim reptile look hand juggler ask insist upon step octopus reason hindrance aggravate many time take realize fading fading existence simulation dead much learn page left read put front jam grammar poor hold scrapbook heavier hammer mighty thor word weigh ton therefore never fall hand wrong another make attempt put foot side see borderline colorblind probably never hold piece sacred finally put end hatred wrong world would never endure argue awake absence unity startle foolish pride hell try beat someone well quit try echo word mean nothing despicable think manage kick unkickable graceless bland tasteless faceless faceless damn dull time face taste straight pile numerous style date birth earth deliverance starchild bless formidable talent versatility power come responsibilty infringe boundary defiance clear form alliance something even giant fear instead oblivious color skin refusal usin accepted trend another know understand get along hate know stand speak every white man enemy floor lie broken door spoken stereotype superstition fictional folklore rarely see lighter side try persuasive also invasive try end rivalry isolated apology exhaust feel turn glacial never defrost trust repeatedly shaft switch opposite scene enact pull boy root destroy quick fracture obviate hate pattern past u huh always fight position top dog spot already occupy play leapfrog wish fight territory already mine always prove time time never understand man could outcast judged past put last others nothing stutterin slurrin mutterin word meaning attack signin like danny kaye go hammerin stammerin grammerin eat like cheese pa cracker please crave,False,5,,,en,1906
